element,original_line,scene_abbreviation,original_content,element_type,element_text,section_depth,scene_number,is_centered,is_dual_dialogue
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: A VOICE (O.S.)
I'll do it.",1039,.,A VOICE (O.S.),Action,"A VOICE (O.S.)
I'll do it.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Everyone turns to see who said that.  The crowd parts to reveal none other than Edward Bloom.  Don Price glowers.,1042,.,Everyone turns to see who said that.  The crowd parts to reveal none other than Edward Bloom.  Don Price glowers.,Action,Everyone turns to see who said that.  The crowd parts to reveal none other than Edward Bloom.  Don Price glowers.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1044,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: I'll talk to him.  See if I can get him to move on.,1045,.,I'll talk to him.  See if I can get him to move on.,Dialogue,I'll talk to him.  See if I can get him to move on.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: MAYOR,1047,.,MAYOR,Character,MAYOR,0,,False,False
"Dialogue: Son, that creature could crush you without trying.",1048,.,"Son, that creature could crush you without trying.",Dialogue,"Son, that creature could crush you without trying.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1050,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Trust me, he'll have to try.",1051,.,"Trust me, he'll have to try.",Dialogue,"Trust me, he'll have to try.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: HILL OUTSIDE ASHTON - DAY,1053,EXT.,EXT.  HILL OUTSIDE ASHTON - DAY,Scene Heading,HILL OUTSIDE ASHTON - DAY,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward climbs up the last bit of the steep hillside, reaching the mouth of a cave.  Outside, buzzards squabble over the remains of the giant's feast:  broken barrels, bones picked clean.",1055,.,"Edward climbs up the last bit of the steep hillside, reaching the mouth of a cave.  Outside, buzzards squabble over the remains of the giant's feast:  broken barrels, bones picked clean.",Action,"Edward climbs up the last bit of the steep hillside, reaching the mouth of a cave.  Outside, buzzards squabble over the remains of the giant's feast:  broken barrels, bones picked clean.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: In his most serious voice, Edward calls out:",1057,.,"In his most serious voice, Edward calls out:",Action,"In his most serious voice, Edward calls out:",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1059,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: Hello!,1060,.,Hello!,Dialogue,Hello!,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: There's no answer.,1062,.,There's no answer.,Action,There's no answer.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD  (CONT'D)
My name is Edward Bloom!  I want to talk to you!",1064,.,EDWARD  (CONT'D),Action,"EDWARD  (CONT'D)
My name is Edward Bloom!  I want to talk to you!",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: From deep in a cave, a thunderous voice:",1067,.,"From deep in a cave, a thunderous voice:",Action,"From deep in a cave, a thunderous voice:",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: VOICE (O.S.)
GO AWAY!",1069,.,VOICE (O.S.),Action,"VOICE (O.S.)
GO AWAY!",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: The giant's voice has such force, it blows Edward's hair back.",1072,.,"The giant's voice has such force, it blows Edward's hair back.",Action,"The giant's voice has such force, it blows Edward's hair back.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1074,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: I'm not going anywhere until you show yourself.,1075,.,I'm not going anywhere until you show yourself.  ,Dialogue,I'm not going anywhere until you show yourself.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: A beat, then we hear a RUMBLE, like a train coming.  Edward braces himself, fists ready for a fight, if that's what it's going to take.",1077,.,"A beat, then we hear a RUMBLE, like a train coming.  Edward braces himself, fists ready for a fight, if that's what it's going to take.",Action,"A beat, then we hear a RUMBLE, like a train coming.  Edward braces himself, fists ready for a fight, if that's what it's going to take.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: As the RUMBLE gets louder, the ground starts to shake.  Even Edward starts to worry.  Just how big is this guy?",1079,.,"As the RUMBLE gets louder, the ground starts to shake.  Even Edward starts to worry.  Just how big is this guy?  ",Action,"As the RUMBLE gets louder, the ground starts to shake.  Even Edward starts to worry.  Just how big is this guy?",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (V.O.)(CONT'D)
Armed with the foreknowledge of my own death, I knew the giant couldn't kill me.  All the same, I preferred to keep my bones unbroken.",1081,.,EDWARD (V.O.)(CONT'D),Action,"EDWARD (V.O.)(CONT'D)
Armed with the foreknowledge of my own death, I knew the giant couldn't kill me.  All the same, I preferred to keep my bones unbroken.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward picks up a stone, ready to play David to Goliath.",1084,.,"Edward picks up a stone, ready to play David to Goliath.",Action,"Edward picks up a stone, ready to play David to Goliath.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Then suddenly, the giant bursts forth.  Hunched over, he slams into a stunned Edward, knocking him halfway down the hill.",1086,.,"Then suddenly, the giant bursts forth.  Hunched over, he slams into a stunned Edward, knocking him halfway down the hill.",Action,"Then suddenly, the giant bursts forth.  Hunched over, he slams into a stunned Edward, knocking him halfway down the hill.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: KARL THE GIANT is bigger than any man you've ever seen.  Not just tall, but massive.  He's completely feral, with a beard to his elbow and skin scratched and blistered.  What remains of his clothes are ragged and muddy.  God knows what's living in his matted hair.",1088,.,"KARL THE GIANT is bigger than any man you've ever seen.  Not just tall, but massive.  He's completely feral, with a beard to his elbow and skin scratched and blistered.  What remains of his clothes are ragged and muddy.  God knows what's living in his matted hair.",Action,"KARL THE GIANT is bigger than any man you've ever seen.  Not just tall, but massive.  He's completely feral, with a beard to his elbow and skin scratched and blistered.  What remains of his clothes are ragged and muddy.  God knows what's living in his matted hair.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Karl leans over Edward, blocking the sun.  Edward throws his rock, but it just bounces off.  The giant didn't even notice it.",1090,.,"Karl leans over Edward, blocking the sun.  Edward throws his rock, but it just bounces off.  The giant didn't even notice it.",Action,"Karl leans over Edward, blocking the sun.  Edward throws his rock, but it just bounces off.  The giant didn't even notice it.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1092,.,KARL,Character,KARL,0,,False,False
Dialogue: Why are you here?,1093,.,Why are you here?,Dialogue,Why are you here?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward ponders the best response, settling on...",1095,.,"Edward ponders the best response, settling on...",Action,"Edward ponders the best response, settling on...",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1097,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: So you can eat me.  The town decided to send a human sacrifice, and I volunteered.",1098,.,"So you can eat me.  The town decided to send a human sacrifice, and I volunteered. ",Dialogue,"So you can eat me.  The town decided to send a human sacrifice, and I volunteered.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Karl's eyes narrow, confused.  Edward stands up.",1100,.,"Karl's eyes narrow, confused.  Edward stands up.",Action,"Karl's eyes narrow, confused.  Edward stands up.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (CONT'D)
My arms are a little stringy, but there's some good eating on my legs.  I mean, I'd be tempted to eat them myself.
(beat)
So I guess, just, if you could get it over with quick.  Because I'm not much for pain, really.",1102,.,EDWARD (CONT'D),Action,"EDWARD (CONT'D)
My arms are a little stringy, but there's some good eating on my legs.  I mean, I'd be tempted to eat them myself.
(beat)
So I guess, just, if you could get it over with quick.  Because I'm not much for pain, really.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward closes his eyes, hands at his side, ready to be eaten.  Karl just stares at him, not sure what to do.",1107,.,"Edward closes his eyes, hands at his side, ready to be eaten.  Karl just stares at him, not sure what to do.",Action,"Edward closes his eyes, hands at his side, ready to be eaten.  Karl just stares at him, not sure what to do.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: After a beat, Edward opens his eyes a tiny bit, just to see what the giant is doing.  Relieved to see he's not licking his chops --",1109,.,"After a beat, Edward opens his eyes a tiny bit, just to see what the giant is doing.  Relieved to see he's not licking his chops --",Action,"After a beat, Edward opens his eyes a tiny bit, just to see what the giant is doing.  Relieved to see he's not licking his chops --",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (CONT'D)
Look, I can't go back.  I'm a human sacrifice.  If I go back, everyone will think I'm a coward.  And I'd rather be dinner than a coward.",1111,.,EDWARD (CONT'D),Action,"EDWARD (CONT'D)
Look, I can't go back.  I'm a human sacrifice.  If I go back, everyone will think I'm a coward.  And I'd rather be dinner than a coward.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Karl sits down with a BOOM, dejected.",1114,.,"Karl sits down with a BOOM, dejected.",Action,"Karl sits down with a BOOM, dejected.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (CONT'D)
Here, start with my hand.  It'll be an appetizer.",1116,.,EDWARD (CONT'D),Action,"EDWARD (CONT'D)
Here, start with my hand.  It'll be an appetizer.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Reaching up, Edward shoves his hand into Karl's mouth.  But the giant spits it back out.",1119,.,"Reaching up, Edward shoves his hand into Karl's mouth.  But the giant spits it back out.",Action,"Reaching up, Edward shoves his hand into Karl's mouth.  But the giant spits it back out.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1121,.,KARL,Character,KARL,0,,False,False
Dialogue: I don't want to eat you.  I don't want to eat anybody.  It's just I get so hungry.  I'm too big.,1122,.,I don't want to eat you.  I don't want to eat anybody.  It's just I get so hungry.  I'm too big.,Dialogue,I don't want to eat you.  I don't want to eat anybody.  It's just I get so hungry.  I'm too big.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: And that's the sad truth.  Karl is less a monster than a freak -- a giant man, but in the end, just a man.",1124,.,"And that's the sad truth.  Karl is less a monster than a freak -- a giant man, but in the end, just a man.",Action,"And that's the sad truth.  Karl is less a monster than a freak -- a giant man, but in the end, just a man.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Edward takes a seat beside him.,1126,.,Edward takes a seat beside him.,Action,Edward takes a seat beside him.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1128,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Did you ever think maybe you're not too big?  Maybe this town's just too small.  I mean, look at it.",1129,.,"Did you ever think maybe you're not too big?  Maybe this town's just too small.  I mean, look at it.",Dialogue,"Did you ever think maybe you're not too big?  Maybe this town's just too small.  I mean, look at it.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Circling behind them, we look down at Ashton -- a tiny town in a tiny valley.",1131,.,"Circling behind them, we look down at Ashton -- a tiny town in a tiny valley.",Action,"Circling behind them, we look down at Ashton -- a tiny town in a tiny valley.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (CONT'D)
Hardly two stories in the whole place.  Now I've heard in real cities, they've got buildings so tall you can't even see the tops of 'em.",1133,.,EDWARD (CONT'D),Action,"EDWARD (CONT'D)
Hardly two stories in the whole place.  Now I've heard in real cities, they've got buildings so tall you can't even see the tops of 'em.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1136,.,KARL,Character,KARL,0,,False,False
Dialogue: Really?,1137,.,Really?,Dialogue,Really?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1139,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Wouldn't lie to you.  And they've got all-you-can-eat buffets.  You can eat a lot, can't you?",1140,.,"Wouldn't lie to you.  And they've got all-you-can-eat buffets.  You can eat a lot, can't you?",Dialogue,"Wouldn't lie to you.  And they've got all-you-can-eat buffets.  You can eat a lot, can't you?",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1142,.,KARL,Character,KARL,0,,False,False
Dialogue: I can.,1143,.,I can.,Dialogue,I can.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1145,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: So why are you wasting your time in a small town?  You're a big man.  You should be in the big city.,1146,.,So why are you wasting your time in a small town?  You're a big man.  You should be in the big city.,Dialogue,So why are you wasting your time in a small town?  You're a big man.  You should be in the big city.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Karl smiles, but then it fades.  A certain sad suspicion --",1148,.,"Karl smiles, but then it fades.  A certain sad suspicion --",Action,"Karl smiles, but then it fades.  A certain sad suspicion --",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1150,.,KARL,Character,KARL,0,,False,False
"Dialogue: You're just trying to get me to leave, aren't you?  That's why they sent you here.",1151,.,"You're just trying to get me to leave, aren't you?  That's why they sent you here.",Dialogue,"You're just trying to get me to leave, aren't you?  That's why they sent you here.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1153,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: What's your name, Giant?",1154,.,"What's your name, Giant?",Dialogue,"What's your name, Giant?",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1156,.,KARL,Character,KARL,0,,False,False
Dialogue: Karl.,1157,.,Karl.,Dialogue,Karl.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1159,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Mine's Edward.  And truthfully, I do want you to leave, Karl.  But I want to leave with you.",1160,.,"Mine's Edward.  And truthfully, I do want you to leave, Karl.  But I want to leave with you.  ",Dialogue,"Mine's Edward.  And truthfully, I do want you to leave, Karl.  But I want to leave with you.",0,,False,False
Parenthetical: (closer),1161,.,(closer),Parenthetical,(closer),0,,False,False
"Dialogue: You think this town is too small for you, well, it's too small for a man of my ambition.  I can't see staying here a day longer.",1162,.,"You think this town is too small for you, well, it's too small for a man of my ambition.  I can't see staying here a day longer.  ",Dialogue,"You think this town is too small for you, well, it's too small for a man of my ambition.  I can't see staying here a day longer.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1164,.,KARL,Character,KARL,0,,False,False
Dialogue: You don't like it?,1165,.,You don't like it?,Dialogue,You don't like it?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1167,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: I love every square inch of it.  But I can feel the edges closing in on me.  A man's life can only grow to a certain size in a place like this.,1168,.,I love every square inch of it.  But I can feel the edges closing in on me.  A man's life can only grow to a certain size in a place like this.,Dialogue,I love every square inch of it.  But I can feel the edges closing in on me.  A man's life can only grow to a certain size in a place like this.,0,,False,False
Parenthetical: (beat),1169,.,(beat),Parenthetical,(beat),0,,False,False
Dialogue: So what do you say?  Join me?,1170,.,So what do you say?  Join me?,Dialogue,So what do you say?  Join me?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Karl thinks a moment.  Then --,1172,.,Karl thinks a moment.  Then --,Action,Karl thinks a moment.  Then --,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1174,.,KARL,Character,KARL,0,,False,False
Dialogue: Okay.,1175,.,Okay.,Dialogue,Okay.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1177,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: Okay.,1178,.,Okay.,Dialogue,Okay.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: They shake on it.,1180,.,They shake on it.,Action,They shake on it.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (CONT'D)
Now first, we gotta get you ready for the city.",1182,.,EDWARD (CONT'D),Action,"EDWARD (CONT'D)
Now first, we gotta get you ready for the city.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: RIVER - DAY,1185,EXT.,EXT.  RIVER - DAY,Scene Heading,RIVER - DAY,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: IN A SINGLE SHOT, Karl cuts his hair with hedge clippers, while Edward cuts up a surplus army tent to make him a shirt.",1187,.,"IN A SINGLE SHOT, Karl cuts his hair with hedge clippers, while Edward cuts up a surplus army tent to make him a shirt.",Action,"IN A SINGLE SHOT, Karl cuts his hair with hedge clippers, while Edward cuts up a surplus army tent to make him a shirt.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: MAIN STREET OF ASHTON - DAY,1189,EXT.,EXT.  MAIN STREET OF ASHTON - DAY,Scene Heading,MAIN STREET OF ASHTON - DAY,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Spirits buoyed by the high school MARCHING BAND, all the good CITIZENS of Ashton are gathered to see off Edward and Karl.  There's a few tears amid the familiar faces.",1191,.,"Spirits buoyed by the high school MARCHING BAND, all the good CITIZENS of Ashton are gathered to see off Edward and Karl.  There's a few tears amid the familiar faces.",Action,"Spirits buoyed by the high school MARCHING BAND, all the good CITIZENS of Ashton are gathered to see off Edward and Karl.  There's a few tears amid the familiar faces.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: MAYOR,1193,.,MAYOR,Character,MAYOR,0,,False,False
"Parenthetical: (loudly, for the crowd)",1194,.,"(loudly, for the crowd)",Parenthetical,"(loudly, for the crowd)",0,,False,False
"Dialogue: Edward Bloom, first son of Ashton, it's with a heavy heart we see you go.  But take with you this Key to the City, and know that any time you want to come back, all our doors are open to you.",1195,.,"Edward Bloom, first son of Ashton, it's with a heavy heart we see you go.  But take with you this Key to the City, and know that any time you want to come back, all our doors are open to you.",Dialogue,"Edward Bloom, first son of Ashton, it's with a heavy heart we see you go.  But take with you this Key to the City, and know that any time you want to come back, all our doors are open to you.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward ducks a bit so the Mayor can put the key around his neck.  The crowd CHEERS.  And with that, Edward and Karl start walking, waving as they go.",1197,.,"Edward ducks a bit so the Mayor can put the key around his neck.  The crowd CHEERS.  And with that, Edward and Karl start walking, waving as they go.",Action,"Edward ducks a bit so the Mayor can put the key around his neck.  The crowd CHEERS.  And with that, Edward and Karl start walking, waving as they go.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Only DON PRICE, smoking on the corner, isn't sad to see Edward go.  He crushes his cigarette under his heel.  He wishes he could crush Edward.",1199,.,"Only DON PRICE, smoking on the corner, isn't sad to see Edward go.  He crushes his cigarette under his heel.  He wishes he could crush Edward.",Action,"Only DON PRICE, smoking on the corner, isn't sad to see Edward go.  He crushes his cigarette under his heel.  He wishes he could crush Edward.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Many of the townfolk come onto the street to hug Edward or shake his hand.,1201,.,Many of the townfolk come onto the street to hug Edward or shake his hand.  ,Action,Many of the townfolk come onto the street to hug Edward or shake his hand.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (V.O.)
That afternoon as I left Ashton, everyone seemed to have advice.",1203,.,EDWARD (V.O.),Action,"EDWARD (V.O.)
That afternoon as I left Ashton, everyone seemed to have advice.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: VARIOUS TOWNFOLK,1206,.,VARIOUS TOWNFOLK,Character,VARIOUS TOWNFOLK,0,,False,False
"Dialogue: Find yourself a nice girl!  Don't trust anyone in Kentucky!  Watch your pride, Edward Bloom!",1207,.,"Find yourself a nice girl!  Don't trust anyone in Kentucky!  Watch your pride, Edward Bloom!",Dialogue,"Find yourself a nice girl!  Don't trust anyone in Kentucky!  Watch your pride, Edward Bloom!",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (V.O.)
But there was one person whose counsel I held above all others.",1209,.,EDWARD (V.O.),Action,"EDWARD (V.O.)
But there was one person whose counsel I held above all others.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: As the crowd parts, he finds himself face to face with",1212,.,"As the crowd parts, he finds himself face to face with ",Action,"As the crowd parts, he finds himself face to face with",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: THE OLD WOMAN.,1214,.,THE OLD WOMAN. ,Action,THE OLD WOMAN.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: The ruckus slows and quiets, as if a strange spell has been cast.  She motions for Edward to lean down, so she can whisper something to him.  Although we're VERY CLOSE, we can't hear her voice.",1216,.,"The ruckus slows and quiets, as if a strange spell has been cast.  She motions for Edward to lean down, so she can whisper something to him.  Although we're VERY CLOSE, we can't hear her voice.",Action,"The ruckus slows and quiets, as if a strange spell has been cast.  She motions for Edward to lean down, so she can whisper something to him.  Although we're VERY CLOSE, we can't hear her voice.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (V.O.) (CONT'D)
She said that the biggest fish in the river gets that way by never being caught.",1218,.,EDWARD (V.O.) (CONT'D),Action,"EDWARD (V.O.) (CONT'D)
She said that the biggest fish in the river gets that way by never being caught.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: The advice only succeeds in confusing Edward.,1221,.,The advice only succeeds in confusing Edward.,Action,The advice only succeeds in confusing Edward.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (CONT'D)
(to the Old Woman)
Okay.  Thanks.",1223,.,EDWARD (CONT'D),Action,"EDWARD (CONT'D)
(to the Old Woman)
Okay.  Thanks.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward and Karl keep walking.  The Old Woman shuffles off, somehow knowing her advice will go unheeded.",1227,.,"Edward and Karl keep walking.  The Old Woman shuffles off, somehow knowing her advice will go unheeded.",Action,"Edward and Karl keep walking.  The Old Woman shuffles off, somehow knowing her advice will go unheeded.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1229,.,KARL,Character,KARL,0,,False,False
Dialogue: What did she say?,1230,.,What did she say?,Dialogue,What did she say?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1232,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: Beats me.,1233,.,Beats me.,Dialogue,Beats me.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: ROAD - DAY,1235,EXT.,EXT.  ROAD - DAY,Scene Heading,ROAD - DAY,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: We TILT UP from the road to reveal Edward and Karl walking out of Ashton.  Each wears a backpack with all his earthly possessions.,1237,.,We TILT UP from the road to reveal Edward and Karl walking out of Ashton.  Each wears a backpack with all his earthly possessions.,Action,We TILT UP from the road to reveal Edward and Karl walking out of Ashton.  Each wears a backpack with all his earthly possessions.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (V.O.)
There were two roads out of Ashton, a new one which was paved, and an older one that wasn't.  People didn't use the old road anymore, and it had developed the reputation of being haunted.",1239,.,EDWARD (V.O.),Action,"EDWARD (V.O.)
There were two roads out of Ashton, a new one which was paved, and an older one that wasn't.  People didn't use the old road anymore, and it had developed the reputation of being haunted.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward and Karl come to a bend, where the paved road veers left and an overgrown dirt road runs straight.  The old road is blocked with signs and warnings of danger.",1242,.,"Edward and Karl come to a bend, where the paved road veers left and an overgrown dirt road runs straight.  The old road is blocked with signs and warnings of danger.",Action,"Edward and Karl come to a bend, where the paved road veers left and an overgrown dirt road runs straight.  The old road is blocked with signs and warnings of danger.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (V.O.) (CONT'D)
Since I had no intention of ever returning to Ashton, this seemed as good a time as any to find out what lay down that old road.",1244,.,EDWARD (V.O.) (CONT'D),Action,"EDWARD (V.O.) (CONT'D)
Since I had no intention of ever returning to Ashton, this seemed as good a time as any to find out what lay down that old road.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Karl looks at the dirt road, wary.",1247,.,"Karl looks at the dirt road, wary.",Action,"Karl looks at the dirt road, wary.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1249,.,KARL,Character,KARL,0,,False,False
Dialogue: You know anyone's who's taken it?,1250,.,You know anyone's who's taken it?,Dialogue,You know anyone's who's taken it?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1252,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: That poet, Norther Winslow did.  He was going to Paris, France.  He must have liked it, because no one ever heard from him again.",1253,.,"That poet, Norther Winslow did.  He was going to Paris, France.  He must have liked it, because no one ever heard from him again.",Dialogue,"That poet, Norther Winslow did.  He was going to Paris, France.  He must have liked it, because no one ever heard from him again.",0,,False,False
Parenthetical: (beat),1254,.,(beat),Parenthetical,(beat),0,,False,False
Dialogue: Tell you what.  You take the other way and I'll cut through here.  Meet you on the far side.,1255,.,Tell you what.  You take the other way and I'll cut through here.  Meet you on the far side.,Dialogue,Tell you what.  You take the other way and I'll cut through here.  Meet you on the far side.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: A little paranoid...,1257,.,A little paranoid...,Action,A little paranoid...,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: KARL,1259,.,KARL,Character,KARL,0,,False,False
Dialogue: You're not trying to run away?,1260,.,You're not trying to run away?,Dialogue,You're not trying to run away?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,1262,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Just to be sure, you can take my pack.",1263,.,"Just to be sure, you can take my pack.  ",Dialogue,"Just to be sure, you can take my pack.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Karl perks up, even though it means more for him to carry.",1265,.,"Karl perks up, even though it means more for him to carry.",Action,"Karl perks up, even though it means more for him to carry.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: DIRT ROAD - DAY,1267,EXT.,EXT.  DIRT ROAD - DAY ,Scene Heading,DIRT ROAD - DAY,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: The road is overgrown, but not altogether creepy.  The sun is still shining, and the birds still CHIRPING.",1269,.,"The road is overgrown, but not altogether creepy.  The sun is still shining, and the birds still CHIRPING.",Action,"The road is overgrown, but not altogether creepy.  The sun is still shining, and the birds still CHIRPING.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
